device_id,date,pm1,pm2_5,pm10
3494540048AC
3494540045EC
0CDC7E3D8B7C
0CDC7E3DB688
0CDC7E3DE3F0
349454002C8C,2022-11-05,12.1785,14.3481,22.0444
349454002C8C,2022-11-04,86.7697,96.1504,120.3995
349454002C8C,2022-11-03,60.2366,65.0002,83.6306
349454002C8C,2022-11-02,74.4545,80.4999,101.1226
349454002C8C,2022-11-01,47.6765,51.7596,66.7571
0CDC7E3E1DD0,2022-11-14,42.1584,48.2845,69.4605
0CDC7E3E1DD0,2022-11-13,63.2104,72.8182,96.5127
0CDC7E3E1DD0,2022-11-12,56.5545,63.9431,85.3387
0CDC7E3E1DD0,2022-11-11,51.9903,59.3235,77.8013
0CDC7E3E1DD0,2022-11-10,43.3628,48.5682,65.4861
0CDC7E3DB250,2022-11-25,11.9949,15.028,23.4045
0CDC7E3DB250,2022-11-24,26.257,30.9753,44.7599
0CDC7E3DB250,2022-11-23,26.1509,30.693,44.1118
0CDC7E3DB250,2022-11-22,19.0311,22.2621,32.6864
0CDC7E3DB250,2022-11-21,33.5499,38.9159,55.2161
0CDC7E3DB250,2022-11-20,12.4481,15.1645,23.5534
0CDC7E3DB250,2022-11-19,21.4099,24.8167,36.326
0CDC7E3DB250,2022-11-18,22.2886,26.3712,37.9982
0CDC7E3DB250,2022-11-17,41.3803,48.0081,63.9612
0CDC7E3DB250,2022-11-16,25.6363,30.3202,42.1812
0CDC7E3DB250,2022-11-15,37.8145,43.1631,57.3266
0CDC7E3DB250,2022-11-14,37.2035,42.4929,56.7153
0CDC7E3DB250,2022-11-13,23.7079,28.0046,40.7003
0CDC7E3DB250,2022-11-12,32.3743,37.407,53.2638
0CDC7E3DB250,2022-11-11,32.4873,37.9901,53.5436
0CDC7E3DB250,2022-11-10,42.1046,46.904,61.9381
0CDC7E3DB250,2022-11-09,34.4957,39.1936,52.399
0CDC7E3DB250,2022-11-08,32.0083,37.1712,50.298
0CDC7E3DB250,2022-11-07,23.4938,27.7037,39.9967
0CDC7E3DB250,2022-11-06,21.495,25.5141,37.6824
0CDC7E3DB250,2022-11-05,8.9583,11.5138,18.782
0CDC7E3DB250,2022-11-04,16.3912,24.26,36.501
0CDC7E3DB250,2022-11-03,31.3832,35.8456,49.0254
0CDC7E3DB250,2022-11-02,31.0139,35.5172,48.5339
0CDC7E3DB250,2022-11-01,26.6491,30.3781,41.8597
0CDC7E3CAC70,2022-11-28,8.0308,10.9965,18.653
0CDC7E3CAC70,2022-11-27,11.4378,14.1712,22.3947
0CDC7E3CAC70,2022-11-26,6.6462,9.2876,16.2497
0CDC7E3CAC70,2022-11-25,8.5641,11.1578,18.7271
0CDC7E3CAC70,2022-11-24,2.9204,5.4828,11.2611
0CDC7E3CAC70,2022-11-23,2.7545,5.564,11.3035
0CDC7E3CAC70,2022-11-22,-0.946,2.0805,7.093
0CDC7E3CAC70,2022-11-21,6.2448,8.6914,15.1739
0CDC7E3CAC70,2022-11-20,-1.3271,1.7664,6.6168
0CDC7E3CAC70,2022-11-19,2.5782,5.385,11.1041
0CDC7E3CAC70,2022-11-18,7.606,10.1499,17.0192
0CDC7E3CAC70,2022-11-17,11.4606,14.1452,22.2253
0CDC7E3CAC70,2022-11-15,1.4608,3.8307,8.8777
0CDC7E3CAC70,2022-11-14,6.9556,9.9115,16.7987
0CDC7E3CAC70,2022-11-13,11.2859,14.4085,22.4636
0CDC7E3CAC70,2022-11-11,9.8551,12.2325,19.3478
0CDC7E3CAC70,2022-11-10,20.176,23.8883,35.7603
0CDC7E3CAC70,2022-11-09,17.1199,20.6472,31.4261
0CDC7E3CAC70,2022-11-08,10.2185,13.1971,21.0631
0CDC7E3CAC70,2022-11-07,7.1602,9.6736,16.1727
0CDC7E3CAC70,2022-11-06,6.4001,9.5351,16.6525
0CDC7E3CAC70,2022-11-05,0.5075,3.3215,8.5059
0CDC7E3CAC70,2022-11-04,3.7424,6.2728,12.1957
0CDC7E3CAC70,2022-11-03,18.7948,22.2467,33.0616
0CDC7E3CAC70,2022-11-02,20.635,24.8598,37.2723
0CDC7E3CAC70,2022-11-01,14.6051,18.4845,28.4321
349454002C54,2022-11-25,7.1682,10.6126,17.9499
349454002C54,2022-11-24,19.4802,24.227,36.1005
349454002C54,2022-11-23,19.7865,24.2423,35.9616
349454002C54,2022-11-22,13.6494,17.2037,25.9886
349454002C54,2022-11-21,26.3736,32.0266,46.7352
349454002C54,2022-11-20,8.4919,11.4434,18.7869
349454002C54,2022-11-19,16.2657,19.8651,30.0645
349454002C54,2022-11-18,16.4882,20.6485,31.239
349454002C54,2022-11-17,31.5767,38.1414,52.6915
349454002C54,2022-11-16,19.6166,24.2813,35.0307
349454002C54,2022-11-15,29.5923,34.785,47.8298
