device_id,date,pm1,pm2_5,pm10
3494540048AC
3494540045EC,2022-12-15T23:00:00,59.4745,66.3352,90.5336
3494540045EC,2022-12-15T22:00:00,86.1231,97.2131,126.8888
3494540045EC,2022-12-15T21:00:00,96.4911,109.8495,145.0382
3494540045EC,2022-12-15T20:00:00,94.076,110.101,145.1739
3494540045EC,2022-12-15T19:00:00,82.4674,95.7776,125.7528
3494540045EC,2022-12-15T18:00:00,81.487,93.0567,121.8334
3494540045EC,2022-12-15T17:00:00,58.5506,68.1093,90.8617
3494540045EC,2022-12-15T16:00:00,71.4437,83.154,107.9246
3494540045EC,2022-12-15T15:00:00,55.2748,66.2426,91.0189
3494540045EC,2022-12-15T14:00:00,43.2442,50.8775,76.3524
3494540045EC,2022-12-15T13:00:00,41.302,48.8938,71.9793
3494540045EC,2022-12-15T12:00:00,46.0604,54.1226,78.4249
3494540045EC,2022-12-15T11:00:00,45.52,53.4412,77.6357
3494540045EC,2022-12-15T10:00:00,45.5381,52.2589,76.3091
3494540045EC,2022-12-15T09:00:00,37.0011,42.5202,62.7017
3494540045EC,2022-12-15T08:00:00,46.6292,52.6628,75.5837
3494540045EC,2022-12-15T07:00:00,39.3855,45.3973,66.4712
3494540045EC,2022-12-15T06:00:00,35.0527,39.667,58.2665
3494540045EC,2022-12-15T05:00:00,31.6494,36.7371,55.0272
3494540045EC,2022-12-15T04:00:00,24.6291,27.6717,39.7426
3494540045EC,2022-12-15T03:00:00,29.1679,33.0782,47.1483
3494540045EC,2022-12-15T02:00:00,24.6138,27.1774,38.2381
3494540045EC,2022-12-15T01:00:00,22.205,24.6325,34.9015
3494540045EC,2022-12-15T00:00:00,21.8842,23.443,33.2339
0CDC7E3D8B7C
0CDC7E3DB688
0CDC7E3DE3F0
349454002C8C,2022-12-15T23:00:00,174.4525,194.1129,239.3729
349454002C8C,2022-12-15T22:00:00,148.9518,165.3193,203.2105
349454002C8C,2022-12-15T21:00:00,195.0792,217.6437,268.2996
349454002C8C,2022-12-15T20:00:00,223.3004,252.2348,308.9157
349454002C8C,2022-12-15T19:00:00,241.8021,277.8936,341.3822
349454002C8C,2022-12-15T18:00:00,169.2911,184.886,224.4265
349454002C8C,2022-12-15T17:00:00,250.0776,280.8422,342.4706
349454002C8C,2022-12-15T16:00:00,313.979,379.4161,465.9482
349454002C8C,2022-12-15T15:00:00,302.5785,364.2151,446.7629
349454002C8C,2022-12-15T14:00:00,143.5143,153.0539,185.8572
349454002C8C,2022-12-15T13:00:00,97.1747,102.3862,124.1988
349454002C8C,2022-12-15T12:00:00,63.6679,67.7449,86.5571
349454002C8C,2022-12-15T11:00:00,70.544,78.6149,100.1743
0CDC7E3E1DD0,2022-12-15T23:00:00,61.0912,73.0512,98.9694
0CDC7E3E1DD0,2022-12-15T22:00:00,63.8537,77.6446,105.0565
0CDC7E3E1DD0,2022-12-15T21:00:00,88.395,105.2682,140.2747
0CDC7E3E1DD0,2022-12-15T20:00:00,70.7104,83.5863,111.1757
0CDC7E3E1DD0,2022-12-15T19:00:00,58.6114,70.7553,94.9212
0CDC7E3E1DD0,2022-12-15T18:00:00,51.4308,60.1087,84.187
0CDC7E3E1DD0,2022-12-15T17:00:00,60.4407,73.8982,100.0956
0CDC7E3E1DD0,2022-12-15T16:00:00,54.4033,67.3372,92.7738
0CDC7E3E1DD0,2022-12-15T15:00:00,48.8816,58.6681,85.6484
0CDC7E3E1DD0,2022-12-15T14:00:00,48.2441,58.2812,84.6552
0CDC7E3E1DD0,2022-12-15T13:00:00,48.5055,58.982,84.7791
0CDC7E3E1DD0,2022-12-15T12:00:00,54.1075,66.1515,90.4079
0CDC7E3E1DD0,2022-12-15T11:00:00,45.0317,51.4257,74.5968
0CDC7E3E1DD0,2022-12-15T10:00:00,49.7005,57.9638,80.533
0CDC7E3E1DD0,2022-12-15T09:00:00,55.5946,65.5451,88.8381
0CDC7E3E1DD0,2022-12-15T08:00:00,49.1453,56.2978,80.1589
0CDC7E3E1DD0,2022-12-15T07:00:00,50.38,58.5368,82.9452
0CDC7E3E1DD0,2022-12-15T06:00:00,47.7583,55.0669,79.0604
0CDC7E3E1DD0,2022-12-15T05:00:00,45.866,52.8669,75.9351
0CDC7E3E1DD0,2022-12-15T04:00:00,71.1995,89.3107,121.5507
0CDC7E3E1DD0,2022-12-15T03:00:00,59.2914,75.1682,102.5687
0CDC7E3E1DD0,2022-12-15T02:00:00,61.0689,76.276,103.5128
0CDC7E3E1DD0,2022-12-15T01:00:00,59.2106,73.3118,98.4738
0CDC7E3E1DD0,2022-12-15T00:00:00,70.5536,87.0047,117.244
0CDC7E3DB250
0CDC7E3CAC70,2022-12-15T23:00:00,-2.6729,0.7422,5.3205
0CDC7E3CAC70,2022-12-15T22:00:00,-2.8941,0.6373,5.2265
0CDC7E3CAC70,2022-12-15T21:00:00,3.4034,6.2053,12.2415
0CDC7E3CAC70,2022-12-15T20:00:00,24.2637,26.8064,38.8061
0CDC7E3CAC70,2022-12-15T19:00:00,18.3379,20.6108,30.0144
0CDC7E3CAC70,2022-12-15T18:00:00,15.986,18.3515,27.1863
0CDC7E3CAC70,2022-12-15T17:00:00,12.8445,15.4629,23.8638
0CDC7E3CAC70,2022-12-15T16:00:00,12.1262,14.0709,22.0203
0CDC7E3CAC70,2022-12-15T15:00:00,22.9879,25.8049,37.6603
0CDC7E3CAC70,2022-12-15T14:00:00,17.9551,20.8208,30.6233
0CDC7E3CAC70,2022-12-15T13:00:00,6.7448,8.8289,15.1968
0CDC7E3CAC70,2022-12-15T12:00:00,11.1471,12.9643,19.7135
0CDC7E3CAC70,2022-12-15T11:00:00,7.4019,9.7811,16.5477
0CDC7E3CAC70,2022-12-15T10:00:00,4.6884,8.1003,15.1649
0CDC7E3CAC70,2022-12-15T09:00:00,3.432,5.575,11.3057
0CDC7E3CAC70,2022-12-15T08:00:00,2.3039,5.3106,11.4009
0CDC7E3CAC70,2022-12-15T07:00:00,-2.6193,0.592,5.2455
0CDC7E3CAC70,2022-12-15T06:00:00,-2.7165,0.5196,5.037
0CDC7E3CAC70,2022-12-15T05:00:00,-2.8213,0.475,4.9051
0CDC7E3CAC70,2022-12-15T04:00:00,-1.5553,1.4977,6.2787
0CDC7E3CAC70,2022-12-15T03:00:00,0.7012,3.0979,8.6005
0CDC7E3CAC70,2022-12-15T02:00:00,1.114,3.4769,8.9683
0CDC7E3CAC70,2022-12-15T01:00:00,5.0826,7.2296,13.2504
0CDC7E3CAC70,2022-12-15T00:00:00,5.8287,8.911,15.7873
349454002C54
3494540052A0,2022-12-15T16:00:00,36.725,42.4913,60.5807
3494540052A0,2022-12-15T15:00:00,115.4765,132.8767,171.0578
3494540052A0,2022-12-15T13:00:00,52.2769,58.9886,78.4837
3494540052A0,2022-12-15T12:00:00,49.6129,56.5513,76.0801
3494540052A0,2022-12-15T11:00:00,31.4009,36.4321,54.3566
3494540052A0,2022-12-15T10:00:00,40.7561,45.3076,65.7395
3494540029D8,2022-12-15T22:00:00,64.129,80.2309,111.5023
3494540029D8,2022-12-15T21:00:00,51.0637,64.1856,93.0924
3494540029D8,2022-12-15T20:00:00,36.3012,43.3902,64.9948
3494540029D8,2022-12-15T19:00:00,42.4995,50.7347,74.8282
3494540029D8,2022-12-15T18:00:00,37.1653,44.1365,66.3826
3494540029D8,2022-12-15T17:00:00,42.1394,49.8709,74.2042
3494540029D8,2022-12-15T16:00:00,42.3004,48.7939,71.6227
3494540029D8,2022-12-15T15:00:00,42.2829,49.9876,74.8472
3494540029D8,2022-12-15T14:00:00,46.8047,56.6321,82.6952
3494540029D8,2022-12-15T13:00:00,48.2917,57.8257,83.8184
3494540029D8,2022-12-15T12:00:00,39.4875,46.76,70.7836
3494540029D8,2022-12-15T11:00:00,45.0841,54.338,80.0907
3494540029D8,2022-12-15T10:00:00,37.6694,44.8246,67.8237
3494540029D8,2022-12-15T09:00:00,41.0041,48.0496,71.9557
3494540029D8,2022-12-15T08:00:00,42.015,49.8223,74.1445
3494540029D8,2022-12-15T07:00:00,42.6712,50.1438,74.3562
3494540029D8,2022-12-15T06:00:00,49.8701,61.8074,86.9422
3494540029D8,2022-12-15T05:00:00,47.6674,57.174,83.4528
3494540029D8,2022-12-15T04:00:00,47.6222,57.0836,83.9182
3494540029D8,2022-12-15T03:00:00,49.0673,58.0941,85.77
3494540029D8,2022-12-15T02:00:00,60.3899,73.9422,101.1081
3494540029D8,2022-12-15T01:00:00,31.5148,37.3453,55.9349
3494540029D8,2022-12-15T00:00:00,46.834,54.5891,79.2221
A848FA94359C,2022-12-15T23:00:00,126.5852,140.1837,198.2351
A848FA94359C,2022-12-15T22:00:00,151.5665,170.8211,242.8944
A848FA94359C,2022-12-15T21:00:00,113.1413,128.0922,183.2365
A848FA94359C,2022-12-15T20:00:00,89.5166,100.5902,141.0148
A848FA94359C,2022-12-15T19:00:00,84.524,95.7057,134.0245
A848FA94359C,2022-12-15T18:00:00,81.4303,92.5507,131.1579
A848FA94359C,2022-12-15T17:00:00,66.22,75.5448,105.9992
A848FA94359C,2022-12-15T16:00:00,56.2966,65.538,91.6667
A848FA94359C,2022-12-15T15:00:00,51.4281,60.5446,85.186
A848FA94359C,2022-12-15T14:00:00,47.3561,56.5355,79.9001
A848FA94359C,2022-12-15T11:00:00,43.3494,51.7207,76.0983
A848FA94359C,2022-12-15T10:00:00,47.7041,56.5819,81.575
A848FA94359C,2022-12-15T09:00:00,47.1327,57.3254,83.6906
A848FA94359C,2022-12-15T08:00:00,41.3258,48.4489,72.875
A848FA94359C,2022-12-15T07:00:00,34.9654,40.0677,60.935
A848FA94359C,2022-12-15T06:00:00,31.3549,36.1813,53.9599
A848FA94359C,2022-12-15T05:00:00,31.4964,35.7589,53.2939
A848FA94359C,2022-12-15T04:00:00,31.5254,35.6639,52.1667
