school_code,time,pm1,pm2_5,pm10
os-slobodan-sekulic-uzice,2023-03-31T23:00:00,1.51,4.09,8.04
os-slobodan-sekulic-uzice,2023-03-31T22:00:00,1.37,4.05,6.91
os-slobodan-sekulic-uzice,2023-03-31T21:00:00,0.48,3.02,7.05
os-slobodan-sekulic-uzice,2023-03-31T20:00:00,1.92,4.51,7.37
os-slobodan-sekulic-uzice,2023-03-31T19:00:00,1.69,4.35,7.35
os-slobodan-sekulic-uzice,2023-03-31T18:00:00,1.08,3.85,6.83
os-slobodan-sekulic-uzice,2023-03-31T17:00:00,2.21,4.66,8.77
os-slobodan-sekulic-uzice,2023-03-31T16:00:00,1.43,4.1,7.85
os-slobodan-sekulic-uzice,2023-03-31T15:00:00,-0.13,2.91,6.29
os-slobodan-sekulic-uzice,2023-03-31T14:00:00,-0.11,2.88,6.3
os-slobodan-sekulic-uzice,2023-03-31T13:00:00,-1.5,1.88,5.01
os-slobodan-sekulic-uzice,2023-03-31T12:00:00,-1.41,1.81,6.74
os-slobodan-sekulic-uzice,2023-03-31T11:00:00,-0.69,2.33,5.77
os-slobodan-sekulic-uzice,2023-03-31T10:00:00,-0.37,2.73,6.22
os-slobodan-sekulic-uzice,2023-03-31T09:00:00,-0.49,2.54,6.07
os-slobodan-sekulic-uzice,2023-03-31T08:00:00,-0.01,2.94,6.58
os-slobodan-sekulic-uzice,2023-03-31T07:00:00,-0.64,2.49,6.09
os-slobodan-sekulic-uzice,2023-03-31T06:00:00,-0.42,2.75,5.26
os-slobodan-sekulic-uzice,2023-03-31T05:00:00,-0.72,2.53,5.25
os-slobodan-sekulic-uzice,2023-03-31T04:00:00,-1.09,2.21,4.63
os-slobodan-sekulic-uzice,2023-03-31T03:00:00,-1.65,1.68,4.04
os-slobodan-sekulic-uzice,2023-03-31T02:00:00,-1.94,1.56,3.76
os-slobodan-sekulic-uzice,2023-03-31T01:00:00,-1.33,2.03,5.24
os-slobodan-sekulic-uzice,2023-03-31T00:00:00,-1.32,2.2,4.68
os-slobodan-sekulic-uzice,2023-03-30T23:00:00,-1.46,1.88,4.4
os-slobodan-sekulic-uzice,2023-03-30T22:00:00,-1.02,2.37,4.84
os-slobodan-sekulic-uzice,2023-03-30T21:00:00,-0.26,2.77,5.38
os-slobodan-sekulic-uzice,2023-03-30T20:00:00,-0.02,2.99,5.75
os-slobodan-sekulic-uzice,2023-03-30T19:00:00,-0.62,2.57,5.12
os-slobodan-sekulic-uzice,2023-03-30T18:00:00,2.42,5.01,8.28
os-slobodan-sekulic-uzice,2023-03-30T17:00:00,4.34,6.52,10.32
os-slobodan-sekulic-uzice,2023-03-30T16:00:00,3.29,5.75,10.18
os-slobodan-sekulic-uzice,2023-03-30T15:00:00,-0.16,2.79,6.38
os-slobodan-sekulic-uzice,2023-03-30T14:00:00,-2.23,1.23,4.51
os-slobodan-sekulic-uzice,2023-03-30T13:00:00,-2.56,1.03,3.9
os-slobodan-sekulic-uzice,2023-03-30T12:00:00,-2.99,0.69,3.72
os-slobodan-sekulic-uzice,2023-03-30T11:00:00,-2.72,0.91,4.16
os-slobodan-sekulic-uzice,2023-03-30T10:00:00,-2.42,1.23,4.19
os-slobodan-sekulic-uzice,2023-03-30T09:00:00,-1.87,1.65,4.79
os-slobodan-sekulic-uzice,2023-03-30T08:00:00,-1.92,1.73,4.84
os-slobodan-sekulic-uzice,2023-03-30T07:00:00,3.2,5.57,9.85
os-slobodan-sekulic-uzice,2023-03-30T06:00:00,12.74,14.45,20.79
os-slobodan-sekulic-uzice,2023-03-30T05:00:00,31.12,32.9,47.05
os-slobodan-sekulic-uzice,2023-03-30T04:00:00,30.26,32.45,47.0
os-slobodan-sekulic-uzice,2023-03-30T03:00:00,28.16,30.94,44.49
os-slobodan-sekulic-uzice,2023-03-30T02:00:00,27.05,30.06,43.36
os-slobodan-sekulic-uzice,2023-03-30T01:00:00,28.67,32.17,46.72
os-slobodan-sekulic-uzice,2023-03-30T00:00:00,33.77,37.15,54.93
os-slobodan-sekulic-uzice,2023-03-29T23:00:00,35.09,38.67,56.75
os-slobodan-sekulic-uzice,2023-03-29T22:00:00,40.3,44.04,65.14
os-slobodan-sekulic-uzice,2023-03-29T21:00:00,41.11,44.79,65.72
os-slobodan-sekulic-uzice,2023-03-29T20:00:00,49.03,53.55,74.69
os-slobodan-sekulic-uzice,2023-03-29T19:00:00,34.73,38.97,57.67
os-slobodan-sekulic-uzice,2023-03-29T18:00:00,37.27,40.83,59.86
os-slobodan-sekulic-uzice,2023-03-29T17:00:00,31.39,34.46,49.73
os-slobodan-sekulic-uzice,2023-03-29T16:00:00,12.16,13.98,20.37
os-slobodan-sekulic-uzice,2023-03-29T15:00:00,4.18,6.42,10.8
os-slobodan-sekulic-uzice,2023-03-29T14:00:00,-0.16,2.8,6.22
